earning_id,work_date,platform,city,shift,hours_worked,trips,km_driven,gross_earning,tips,fuel_cost,parking_tolls,commission_fee
1,1/1/2025,Bolt,Gdansk,Evening,5.1,13,101.9,448.71,0,51.31,8,81.6
2,1/2/2025,Uber,Gdynia,Evening,5.1,12,130.8,286.63,0,65.34,15,58.35
3,1/3/2025,Uber,Gdansk,Night,7,18,217.6,623.72,8.47,129.38,15,128.06
4,1/4/2025,Uber,Gdansk,Evening,9.6,31,256.8,1256.48,17.65,137.42,0,285.11
5,1/5/2025,Bolt,Gdynia,Morning,9,25,184.6,664.6,14.68,112.14,15,155.37
6,1/6/2025,Uber,Gdynia,Night,6,11,123.3,399.53,4.49,81.42,5,75.91
7,1/7/2025,Uber,Gdynia,Evening,7.7,17,177.6,464.29,3.73,81.84,0,88.54
8,1/8/2025,Uber,Gdynia,Evening,5.9,14,142,355,15.91,86.16,8,82.56
9,1/9/2025,Bolt,Gdansk,Evening,4.8,9,109.4,293.49,11.56,71.13,0,70.12
10,1/10/2025,Bolt,Gdansk,Evening,4.8,13,126.5,474.14,0,82.49,15,112.12
11,1/11/2025,Uber,Gdansk,Evening,6.8,20,174.8,838.81,14.06,100.76,0,181.97
12,1/12/2025,Bolt,Sopot,Night,9.5,27,287.5,1009.64,9.26,145.77,0,205.63
13,1/13/2025,Bolt,Gdansk,Morning,4.4,11,100,306.65,0,56.16,8,58.04
14,1/14/2025,FreeNow,Gdynia,Evening,7.9,21,181.7,466.04,5.66,84.03,12,115.99
15,1/15/2025,Uber,Gdansk,Evening,8.3,17,146.2,445.98,0,68.32,15,107.17
16,1/16/2025,Bolt,Gdansk,Night,8.2,23,202.5,937.58,0,133.16,0,193.64
17,1/17/2025,FreeNow,Gdansk,Night,6.3,14,155.5,605.86,0,77.76,0,133.62
18,1/18/2025,Bolt,Gdynia,Morning,8.8,24,219.3,596.94,0,102.11,15,117.28
19,1/19/2025,Uber,Sopot,Morning,8.9,25,206.9,727.52,0,108.06,0,151.11
20,1/20/2025,Bolt,Gdansk,Evening,7.8,15,156.3,515.66,0,75.1,0,124.61
21,1/21/2025,FreeNow,Gdansk,Morning,8.2,21,168.7,653.32,19.55,112.07,0,160.54
22,1/22/2025,Uber,Gdansk,Morning,6.8,14,104.7,387.82,0,53.16,15,71.19
23,1/23/2025,Bolt,Gdynia,Morning,5.7,11,96.6,244.76,7.05,45.14,12,59.54
24,1/24/2025,Bolt,Gdynia,Evening,4.7,9,105.8,289.68,0,53.68,0,59.31
25,1/25/2025,Bolt,Sopot,Night,9.5,30,329.5,922.45,3.56,204.1,0,216.56
26,1/26/2025,Uber,Gdynia,Night,7.5,18,152.2,666.75,0,84.6,0,158.31
27,1/27/2025,FreeNow,Gdansk,Evening,6,12,107.9,350.54,17.86,61.86,0,65.93
28,1/28/2025,FreeNow,Gdansk,Night,5.3,10,104.7,354.43,7.58,68.78,0,70.12
29,1/29/2025,Bolt,Gdansk,Night,6.7,17,158.7,624.59,17.41,94.16,12,149.5
30,1/30/2025,Bolt,Gdansk,Evening,6,13,127.4,299.47,16.11,62.43,8,60.21
31,1/31/2025,Bolt,Gdansk,Evening,6.1,15,130,434.77,5.48,87.2,12,83.42
32,2/1/2025,Uber,Gdansk,Evening,7.8,24,183.9,887.94,0,124.37,8,212.65
33,2/2/2025,Uber,Gdansk,Evening,7.3,21,189.8,617.12,22.6,124.06,15,129.45
34,2/3/2025,Uber,Sopot,Evening,4.3,9,102.1,269.47,9.98,68.25,5,60.06
35,2/4/2025,Bolt,Gdansk,Night,6.7,18,163.6,608.77,12.58,102.88,5,136.29
36,2/5/2025,Uber,Gdansk,Evening,5.4,11,99.3,267.56,12.1,54.16,0,58.32
37,2/6/2025,Uber,Gdansk,Evening,8.5,20,196.2,683.77,0,101.77,5,163.93
38,2/7/2025,FreeNow,Gdansk,Night,6.7,16,153.5,433.03,0,97.25,12,82.95
39,2/8/2025,Bolt,Gdansk,Evening,6.6,17,156.5,452.73,3.95,79.79,0,88.2
40,2/9/2025,Uber,Gdynia,Evening,9.5,29,206.3,753.45,0,96.09,12,137.74
41,2/10/2025,Uber,Gdansk,Night,7.1,14,172.4,377.9,0,84.23,8,93.52
42,2/11/2025,Bolt,Gdynia,Morning,5.6,13,125.3,358.08,11.99,73.45,15,80.18
43,2/12/2025,Uber,Gdynia,Night,7,13,129.1,522.02,0,77.32,0,125.01
44,2/13/2025,Bolt,Gdansk,Night,7.2,19,222.6,627.15,0,147.25,15,134.11
45,2/14/2025,Uber,Gdynia,Evening,8.3,22,176.1,671.83,10.34,92.87,5,160.95
46,2/15/2025,Uber,Gdansk,Night,7.9,24,204.9,845.41,0,111.36,8,197.04
47,2/16/2025,Bolt,Gdynia,Evening,9.7,22,183.2,749.51,4.88,96.92,12,163.79
48,2/17/2025,Uber,Gdansk,Evening,5.2,13,146.6,395.1,0,82.3,12,87.42
49,2/18/2025,Bolt,Gdynia,Night,8.2,17,183.2,493.05,0,105.76,12,121.33
50,2/19/2025,Bolt,Gdynia,Morning,4.1,9,90,201.93,18.78,57.52,5,43.3
